プロット タイトル: site17_spot131_2024,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155732, SEN S/N: 21155732)",カプラー取り外し (LGR S/N: 21155732),カプラー取り付け (LGR S/N: 21155732),ホスト接続 (LGR S/N: 21155732),ファイルの終わり (LGR S/N: 21155732)
131,10/30/23 06:00:00 午後,27.136,,,,
132,10/30/23 07:00:00 午後,27.087,,,,
133,10/30/23 08:00:00 午後,26.965,,,,
134,10/30/23 09:00:00 午後,27.038,,,,
135,10/30/23 10:00:00 午後,26.965,,,,
136,10/30/23 11:00:00 午後,26.965,,,,
137,10/31/23 12:00:00 午前,26.965,,,,
138,10/31/23 01:00:00 午前,26.94,,,,
139,10/31/23 02:00:00 午前,26.965,,,,
140,10/31/23 03:00:00 午前,27.063,,,,
141,10/31/23 04:00:00 午前,27.161,,,,
142,10/31/23 05:00:00 午前,27.112,,,,
143,10/31/23 06:00:00 午前,27.038,,,,
144,10/31/23 07:00:00 午前,26.891,,,,
145,10/31/23 08:00:00 午前,27.014,,,,
146,10/31/23 09:00:00 午前,26.989,,,,
147,10/31/23 10:00:00 午前,25.987,,,,
148,10/31/23 11:00:00 午前,26.598,,,,
149,10/31/23 12:00:00 午後,26.94,,,,
150,10/31/23 01:00:00 午後,26.842,,,,
151,10/31/23 02:00:00 午後,26.744,,,,
152,10/31/23 03:00:00 午後,26.867,,,,
153,10/31/23 04:00:00 午後,26.916,,,,
154,10/31/23 05:00:00 午後,26.842,,,,
155,10/31/23 06:00:00 午後,26.818,,,,
156,10/31/23 07:00:00 午後,26.818,,,,
157,10/31/23 08:00:00 午後,26.769,,,,
158,10/31/23 09:00:00 午後,26.72,,,,
159,10/31/23 10:00:00 午後,26.769,,,,
160,10/31/23 11:00:00 午後,26.72,,,,
161,11/01/23 12:00:00 午前,26.72,,,,
162,11/01/23 01:00:00 午前,26.695,,,,
163,11/01/23 02:00:00 午前,26.769,,,,
164,11/01/23 03:00:00 午前,26.818,,,,
165,11/01/23 04:00:00 午前,26.818,,,,
166,11/01/23 05:00:00 午前,26.818,,,,
167,11/01/23 06:00:00 午前,26.818,,,,
168,11/01/23 07:00:00 午前,26.769,,,,
169,11/01/23 08:00:00 午前,26.793,,,,
170,11/01/23 09:00:00 午前,26.842,,,,
171,11/01/23 10:00:00 午前,26.793,,,,
172,11/01/23 11:00:00 午前,26.867,,,,
173,11/01/23 12:00:00 午後,26.793,,,,
174,11/01/23 01:00:00 午後,26.744,,,,
175,11/01/23 02:00:00 午後,26.744,,,,
176,11/01/23 03:00:00 午後,26.818,,,,
177,11/01/23 04:00:00 午後,26.842,,,,
178,11/01/23 05:00:00 午後,26.867,,,,
179,11/01/23 06:00:00 午後,26.818,,,,
180,11/01/23 07:00:00 午後,26.793,,,,
181,11/01/23 08:00:00 午後,26.72,,,,
182,11/01/23 09:00:00 午後,26.695,,,,
183,11/01/23 10:00:00 午後,26.646,,,,
184,11/01/23 11:00:00 午後,26.695,,,,
185,11/02/23 12:00:00 午前,26.695,,,,
186,11/02/23 01:00:00 午前,26.475,,,,
187,11/02/23 02:00:00 午前,26.671,,,,
188,11/02/23 03:00:00 午前,26.744,,,,
189,11/02/23 04:00:00 午前,26.867,,,,
190,11/02/23 05:00:00 午前,26.867,,,,
191,11/02/23 06:00:00 午前,26.842,,,,
192,11/02/23 07:00:00 午前,26.793,,,,
193,11/02/23 08:00:00 午前,26.818,,,,
194,11/02/23 09:00:00 午前,26.891,,,,
195,11/02/23 10:00:00 午前,26.891,,,,
196,11/02/23 11:00:00 午前,26.867,,,,
197,11/02/23 12:00:00 午後,26.891,,,,
198,11/02/23 01:00:00 午後,26.842,,,,
199,11/02/23 02:00:00 午後,26.842,,,,
200,11/02/23 03:00:00 午後,26.867,,,,
201,11/02/23 04:00:00 午後,26.744,,,,
202,11/02/23 05:00:00 午後,26.793,,,,
203,11/02/23 06:00:00 午後,26.867,,,,
204,11/02/23 07:00:00 午後,27.554,,,,
205,11/02/23 08:00:00 午後,27.481,,,,
206,11/02/23 09:00:00 午後,27.136,,,,
207,11/02/23 10:00:00 午後,27.259,,,,
208,11/02/23 11:00:00 午後,27.358,,,,
209,11/03/23 12:00:00 午前,27.407,,,,
210,11/03/23 01:00:00 午前,27.358,,,,
211,11/03/23 02:00:00 午前,27.974,,,,
212,11/03/23 03:00:00 午前,28.072,,,,
213,11/03/23 04:00:00 午前,27.998,,,,
214,11/03/23 05:00:00 午前,27.998,,,,
215,11/03/23 06:00:00 午前,27.949,,,,
216,11/03/23 07:00:00 午前,27.949,,,,
217,11/03/23 08:00:00 午前,27.949,,,,
218,11/03/23 09:00:00 午前,27.998,,,,
219,11/03/23 10:00:00 午前,27.974,,,,
220,11/03/23 11:00:00 午前,28.097,,,,
221,11/03/23 12:00:00 午後,28.171,,,,
222,11/03/23 01:00:00 午後,28.295,,,,
223,11/03/23 02:00:00 午後,28.27,,,,
224,11/03/23 03:00:00 午後,28.295,,,,
225,11/03/23 04:00:00 午後,28.27,,,,
226,11/03/23 05:00:00 午後,28.27,,,,
227,11/03/23 06:00:00 午後,28.221,,,,
228,11/03/23 07:00:00 午後,28.196,,,,
229,11/03/23 08:00:00 午後,28.221,,,,
230,11/03/23 09:00:00 午後,28.221,,,,
231,11/03/23 10:00:00 午後,28.196,,,,
232,11/03/23 11:00:00 午後,28.171,,,,
233,11/04/23 12:00:00 午前,27.924,,,,
234,11/04/23 01:00:00 午前,28.097,,,,
235,11/04/23 02:00:00 午前,28.171,,,,
236,11/04/23 03:00:00 午前,28.122,,,,
237,11/04/23 04:00:00 午前,28.122,,,,
238,11/04/23 05:00:00 午前,28.097,,,,
239,11/04/23 06:00:00 午前,28.147,,,,
240,11/04/23 07:00:00 午前,28.147,,,,
241,11/04/23 08:00:00 午前,28.147,,,,
242,11/04/23 09:00:00 午前,28.171,,,,
243,11/04/23 10:00:00 午前,28.245,,,,
244,11/04/23 11:00:00 午前,28.27,,,,
245,11/04/23 12:00:00 午後,28.27,,,,
246,11/04/23 01:00:00 午後,28.171,,,,
247,11/04/23 02:00:00 午後,28.27,,,,
248,11/04/23 03:00:00 午後,28.27,,,,
249,11/04/23 04:00:00 午後,28.221,,,,
250,11/04/23 05:00:00 午後,28.196,,,,
251,11/04/23 06:00:00 午後,28.196,,,,
252,11/04/23 07:00:00 午後,28.221,,,,
253,11/04/23 08:00:00 午後,28.221,,,,
254,11/04/23 09:00:00 午後,28.196,,,,
255,11/04/23 10:00:00 午後,28.171,,,,
256,11/04/23 11:00:00 午後,28.171,,,,
257,11/05/23 12:00:00 午前,28.147,,,,
258,11/05/23 01:00:00 午前,28.147,,,,
259,11/05/23 02:00:00 午前,28.147,,,,
260,11/05/23 03:00:00 午前,28.147,,,,
261,11/05/23 04:00:00 午前,28.122,,,,
262,11/05/23 05:00:00 午前,28.122,,,,
263,11/05/23 06:00:00 午前,28.097,,,,
264,11/05/23 07:00:00 午前,28.122,,,,
265,11/05/23 08:00:00 午前,28.147,,,,
266,11/05/23 09:00:00 午前,28.196,,,,
267,11/05/23 10:00:00 午前,28.171,,,,
268,11/05/23 11:00:00 午前,28.048,,,,
269,11/05/23 12:00:00 午後,28.221,,,,
270,11/05/23 01:00:00 午後,28.345,,,,
271,11/05/23 02:00:00 午後,28.345,,,,
272,11/05/23 03:00:00 午後,28.394,,,,
273,11/05/23 04:00:00 午後,28.221,,,,
274,11/05/23 05:00:00 午後,28.221,,,,
275,11/05/23 06:00:00 午後,28.221,,,,
276,11/05/23 07:00:00 午後,28.196,,,,
277,11/05/23 08:00:00 午後,28.196,,,,
278,11/05/23 09:00:00 午後,28.122,,,,
279,11/05/23 10:00:00 午後,28.122,,,,
280,11/05/23 11:00:00 午後,28.196,,,,
281,11/06/23 12:00:00 午前,28.122,,,,
282,11/06/23 01:00:00 午前,28.147,,,,
283,11/06/23 02:00:00 午前,28.122,,,,
284,11/06/23 03:00:00 午前,28.048,,,,
285,11/06/23 04:00:00 午前,27.899,,,,
286,11/06/23 05:00:00 午前,27.85,,,,
287,11/06/23 06:00:00 午前,27.801,,,,
288,11/06/23 07:00:00 午前,28.048,,,,
289,11/06/23 08:00:00 午前,28.097,,,,
290,11/06/23 09:00:00 午前,27.85,,,,
291,11/06/23 10:00:00 午前,28.048,,,,
292,11/06/23 11:00:00 午前,28.196,,,,
293,11/06/23 12:00:00 午後,28.295,,,,
294,11/06/23 01:00:00 午後,28.345,,,,
295,11/06/23 02:00:00 午後,28.493,,,,
296,11/06/23 03:00:00 午後,28.518,,,,
297,11/06/23 04:00:00 午後,28.468,,,,
298,11/06/23 05:00:00 午後,28.419,,,,
299,11/06/23 06:00:00 午後,28.295,,,,
300,11/06/23 07:00:00 午後,28.171,,,,
301,11/06/23 08:00:00 午後,28.196,,,,
302,11/06/23 09:00:00 午後,28.171,,,,
303,11/06/23 10:00:00 午後,28.32,,,,
304,11/06/23 11:00:00 午後,28.171,,,,
305,11/07/23 12:00:00 午前,28.097,,,,
306,11/07/23 01:00:00 午前,28.048,,,,
307,11/07/23 02:00:00 午前,27.974,,,,
308,11/07/23 03:00:00 午前,27.924,,,,
309,11/07/23 04:00:00 午前,27.924,,,,
310,11/07/23 05:00:00 午前,27.924,,,,
311,11/07/23 06:00:00 午前,27.899,,,,
312,11/07/23 07:00:00 午前,27.825,,,,
313,11/07/23 08:00:00 午前,27.776,,,,
314,11/07/23 09:00:00 午前,27.751,,,,
315,11/07/23 10:00:00 午前,27.776,,,,
316,11/07/23 11:00:00 午前,27.776,,,,
317,11/07/23 12:00:00 午後,27.727,,,,
318,11/07/23 01:00:00 午後,27.702,,,,
319,11/07/23 02:00:00 午後,27.702,,,,
320,11/07/23 03:00:00 午後,27.677,,,,
321,11/07/23 04:00:00 午後,27.653,,,,
322,11/07/23 05:00:00 午後,27.628,,,,
323,11/07/23 06:00:00 午後,27.653,,,,
324,11/07/23 07:00:00 午後,27.825,,,,
325,11/07/23 08:00:00 午後,27.776,,,,
326,11/07/23 09:00:00 午後,27.875,,,,
327,11/07/23 10:00:00 午後,27.85,,,,
328,11/07/23 11:00:00 午後,27.899,,,,
329,11/08/23 12:00:00 午前,27.924,,,,
330,11/08/23 01:00:00 午前,27.924,,,,
331,11/08/23 02:00:00 午前,27.924,,,,
332,11/08/23 03:00:00 午前,27.924,,,,
333,11/08/23 04:00:00 午前,27.899,,,,
334,11/08/23 05:00:00 午前,27.899,,,,
335,11/08/23 06:00:00 午前,27.85,,,,
336,11/08/23 07:00:00 午前,27.875,,,,
337,11/08/23 08:00:00 午前,27.899,,,,
338,11/08/23 09:00:00 午前,27.924,,,,
339,11/08/23 10:00:00 午前,28.023,,,,
340,11/08/23 11:00:00 午前,28.072,,,,
341,11/08/23 12:00:00 午後,28.048,,,,
342,11/08/23 01:00:00 午後,27.998,,,,
343,11/08/23 02:00:00 午後,28.023,,,,
344,11/08/23 03:00:00 午後,28.023,,,,
345,11/08/23 04:00:00 午後,27.949,,,,
346,11/08/23 05:00:00 午後,27.924,,,,
347,11/08/23 06:00:00 午後,27.924,,,,
348,11/08/23 07:00:00 午後,27.924,,,,
349,11/08/23 08:00:00 午後,27.899,,,,
350,11/08/23 09:00:00 午後,27.875,,,,
351,11/08/23 10:00:00 午後,27.751,,,,
352,11/08/23 11:00:00 午後,27.825,,,,
353,11/09/23 12:00:00 午前,27.825,,,,
354,11/09/23 01:00:00 午前,27.825,,,,
355,11/09/23 02:00:00 午前,27.85,,,,
356,11/09/23 03:00:00 午前,27.85,,,,
357,11/09/23 04:00:00 午前,27.801,,,,
358,11/09/23 05:00:00 午前,27.604,,,,
359,11/09/23 06:00:00 午前,27.186,,,,
360,11/09/23 07:00:00 午前,27.358,,,,
361,11/09/23 08:00:00 午前,27.825,,,,
362,11/09/23 09:00:00 午前,27.85,,,,
363,11/09/23 10:00:00 午前,27.875,,,,
364,11/09/23 11:00:00 午前,27.899,,,,
365,11/09/23 12:00:00 午後,27.949,,,,
366,11/09/23 01:00:00 午後,27.974,,,,
367,11/09/23 02:00:00 午後,28.023,,,,
368,11/09/23 03:00:00 午後,27.924,,,,
369,11/09/23 04:00:00 午後,27.899,,,,
370,11/09/23 05:00:00 午後,27.875,,,,
371,11/09/23 06:00:00 午後,27.776,,,,
372,11/09/23 07:00:00 午後,27.825,,,,
373,11/09/23 08:00:00 午後,27.85,,,,
374,11/09/23 09:00:00 午後,27.801,,,,
375,11/09/23 10:00:00 午後,27.825,,,,
376,11/09/23 11:00:00 午後,27.85,,,,
377,11/10/23 12:00:00 午前,27.801,,,,
378,11/10/23 01:00:00 午前,27.727,,,,
379,11/10/23 02:00:00 午前,27.727,,,,
380,11/10/23 03:00:00 午前,27.653,,,,
381,11/10/23 04:00:00 午前,27.53,,,,
382,11/10/23 05:00:00 午前,27.505,,,,
383,11/10/23 06:00:00 午前,27.554,,,,
384,11/10/23 07:00:00 午前,27.628,,,,
385,11/10/23 08:00:00 午前,27.751,,,,
386,11/10/23 09:00:00 午前,27.899,,,,
387,11/10/23 10:00:00 午前,27.924,,,,
388,11/10/23 11:00:00 午前,27.949,,,,
389,11/10/23 12:00:00 午後,27.974,,,,
390,11/10/23 01:00:00 午後,28.023,,,,
391,11/10/23 02:00:00 午後,28.048,,,,
392,11/10/23 03:00:00 午後,27.974,,,,
393,11/10/23 04:00:00 午後,27.949,,,,
394,11/10/23 05:00:00 午後,27.974,,,,
395,11/10/23 06:00:00 午後,27.924,,,,
396,11/10/23 07:00:00 午後,27.899,,,,
397,11/10/23 08:00:00 午後,27.924,,,,
398,11/10/23 09:00:00 午後,27.949,,,,
399,11/10/23 10:00:00 午後,27.924,,,,
400,11/10/23 11:00:00 午後,27.924,,,,
401,11/11/23 12:00:00 午前,27.899,,,,
402,11/11/23 01:00:00 午前,27.875,,,,
403,11/11/23 02:00:00 午前,27.875,,,,
404,11/11/23 03:00:00 午前,27.875,,,,
405,11/11/23 04:00:00 午前,27.825,,,,
406,11/11/23 05:00:00 午前,27.825,,,,
407,11/11/23 06:00:00 午前,27.801,,,,
408,11/11/23 07:00:00 午前,27.825,,,,
409,11/11/23 08:00:00 午前,27.751,,,,
410,11/11/23 09:00:00 午前,27.751,,,,
411,11/11/23 10:00:00 午前,27.751,,,,
412,11/11/23 11:00:00 午前,27.875,,,,
413,11/11/23 12:00:00 午後,27.85,,,,
414,11/11/23 01:00:00 午後,27.85,,,,
415,11/11/23 02:00:00 午後,27.875,,,,
416,11/11/23 03:00:00 午後,27.801,,,,
417,11/11/23 04:00:00 午後,27.825,,,,
418,11/11/23 05:00:00 午後,27.85,,,,
419,11/11/23 06:00:00 午後,27.825,,,,
420,11/11/23 07:00:00 午後,27.677,,,,
421,11/11/23 08:00:00 午後,27.702,,,,
422,11/11/23 09:00:00 午後,27.727,,,,
423,11/11/23 10:00:00 午後,27.702,,,,
424,11/11/23 11:00:00 午後,27.702,,,,
425,11/12/23 12:00:00 午前,27.702,,,,
426,11/12/23 01:00:00 午前,27.702,,,,
427,11/12/23 02:00:00 午前,27.702,,,,
428,11/12/23 03:00:00 午前,27.702,,,,
429,11/12/23 04:00:00 午前,27.727,,,,
430,11/12/23 05:00:00 午前,27.702,,,,
431,11/12/23 06:00:00 午前,27.677,,,,
432,11/12/23 07:00:00 午前,27.653,,,,
433,11/12/23 08:00:00 午前,27.677,,,,
434,11/12/23 09:00:00 午前,27.677,,,,
435,11/12/23 10:00:00 午前,27.702,,,,
436,11/12/23 11:00:00 午前,27.727,,,,
437,11/12/23 12:00:00 午後,27.702,,,,
438,11/12/23 01:00:00 午後,27.727,,,,
439,11/12/23 02:00:00 午後,27.751,,,,
440,11/12/23 03:00:00 午後,27.751,,,,
441,11/12/23 04:00:00 午後,27.702,,,,
442,11/12/23 05:00:00 午後,27.628,,,,
443,11/12/23 06:00:00 午後,27.628,,,,
444,11/12/23 07:00:00 午後,27.653,,,,
445,11/12/23 08:00:00 午後,27.653,,,,
446,11/12/23 09:00:00 午後,27.481,,,,
447,11/12/23 10:00:00 午後,27.431,,,,
448,11/12/23 11:00:00 午後,27.431,,,,
449,11/13/23 12:00:00 午前,27.358,,,,
450,11/13/23 01:00:00 午前,27.358,,,,
451,11/13/23 02:00:00 午前,27.284,,,,
452,11/13/23 03:00:00 午前,27.333,,,,
453,11/13/23 04:00:00 午前,27.284,,,,
454,11/13/23 05:00:00 午前,27.284,,,,
455,11/13/23 06:00:00 午前,27.456,,,,
456,11/13/23 07:00:00 午前,27.554,,,,
457,11/13/23 08:00:00 午前,27.579,,,,
458,11/13/23 09:00:00 午前,27.53,,,,
459,11/13/23 10:00:00 午前,27.481,,,,
460,11/13/23 11:00:00 午前,27.407,,,,
461,11/13/23 12:00:00 午後,27.431,,,,
462,11/13/23 01:00:00 午後,27.431,,,,
463,11/13/23 02:00:00 午後,27.481,,,,
464,11/13/23 03:00:00 午後,27.481,,,,
465,11/13/23 04:00:00 午後,27.505,,,,
466,11/13/23 05:00:00 午後,27.456,,,,
467,11/13/23 06:00:00 午後,27.407,,,,
468,11/13/23 07:00:00 午後,27.358,,,,
469,11/13/23 08:00:00 午後,27.382,,,,
470,11/13/23 09:00:00 午後,27.407,,,,
471,11/13/23 10:00:00 午後,27.431,,,,
472,11/13/23 11:00:00 午後,27.407,,,,
473,11/14/23 12:00:00 午前,27.382,,,,
474,11/14/23 01:00:00 午前,27.407,,,,
475,11/14/23 02:00:00 午前,27.407,,,,
476,11/14/23 03:00:00 午前,27.407,,,,
477,11/14/23 04:00:00 午前,27.407,,,,
478,11/14/23 05:00:00 午前,27.382,,,,
479,11/14/23 06:00:00 午前,27.382,,,,
480,11/14/23 07:00:00 午前,27.358,,,,
481,11/14/23 08:00:00 午前,27.358,,,,
482,11/14/23 09:00:00 午前,27.407,,,,
483,11/14/23 10:00:00 午前,27.308,,,,
484,11/14/23 11:00:00 午前,27.284,,,,
485,11/14/23 12:00:00 午後,27.333,,,,
486,11/14/23 01:00:00 午後,27.382,,,,
487,11/14/23 02:00:00 午後,27.456,,,,
488,11/14/23 03:00:00 午後,27.456,,,,
489,11/14/23 04:00:00 午後,27.431,,,,
490,11/14/23 05:00:00 午後,27.407,,,,
491,11/14/23 06:00:00 午後,27.358,,,,
492,11/14/23 07:00:00 午後,27.259,,,,
493,11/14/23 08:00:00 午後,27.358,,,,
494,11/14/23 09:00:00 午後,27.333,,,,
495,11/14/23 10:00:00 午後,27.308,,,,
496,11/14/23 11:00:00 午後,27.259,,,,
497,11/15/23 12:00:00 午前,27.333,,,,
498,11/15/23 01:00:00 午前,27.358,,,,
499,11/15/23 02:00:00 午前,27.407,,,,
500,11/15/23 03:00:00 午前,27.431,,,,
501,11/15/23 04:00:00 午前,27.407,,,,
502,11/15/23 05:00:00 午前,27.382,,,,
503,11/15/23 06:00:00 午前,27.382,,,,
504,11/15/23 07:00:00 午前,27.358,,,,
505,11/15/23 08:00:00 午前,27.382,,,,
506,11/15/23 09:00:00 午前,27.382,,,,
507,11/15/23 10:00:00 午前,27.382,,,,
508,11/15/23 11:00:00 午前,27.456,,,,
509,11/15/23 12:00:00 午後,27.481,,,,
510,11/15/23 01:00:00 午後,27.382,,,,
511,11/15/23 02:00:00 午後,27.431,,,,
512,11/15/23 03:00:00 午後,27.407,,,,
513,11/15/23 04:00:00 午後,27.431,,,,
514,11/15/23 05:00:00 午後,27.431,,,,
515,11/15/23 06:00:00 午後,27.382,,,,
516,11/15/23 07:00:00 午後,27.136,,,,
517,11/15/23 08:00:00 午後,27.333,,,,
518,11/15/23 09:00:00 午後,27.333,,,,
519,11/15/23 10:00:00 午後,26.965,,,,
520,11/15/23 11:00:00 午後,27.112,,,,
521,11/16/23 12:00:00 午前,27.186,,,,
522,11/16/23 01:00:00 午前,27.235,,,,
523,11/16/23 02:00:00 午前,27.333,,,,
524,11/16/23 03:00:00 午前,27.333,,,,
525,11/16/23 04:00:00 午前,27.333,,,,
526,11/16/23 05:00:00 午前,27.333,,,,
527,11/16/23 06:00:00 午前,27.308,,,,
528,11/16/23 07:00:00 午前,27.235,,,,
529,11/16/23 08:00:00 午前,26.842,,,,
530,11/16/23 09:00:00 午前,27.308,,,,
531,11/16/23 10:00:00 午前,27.333,,,,
532,11/16/23 11:00:00 午前,27.382,,,,
533,11/16/23 12:00:00 午後,27.358,,,,
534,11/16/23 01:00:00 午後,27.235,,,,
535,11/16/23 02:00:00 午後,27.235,,,,
536,11/16/23 03:00:00 午後,27.259,,,,
537,11/16/23 04:00:00 午後,27.284,,,,
538,11/16/23 05:00:00 午後,27.333,,,,
539,11/16/23 06:00:00 午後,27.333,,,,
540,11/16/23 07:00:00 午後,27.235,,,,
541,11/16/23 08:00:00 午後,27.259,,,,
542,11/16/23 09:00:00 午後,27.235,,,,
543,11/16/23 10:00:00 午後,27.235,,,,
544,11/16/23 11:00:00 午後,27.136,,,,
545,11/17/23 12:00:00 午前,27.014,,,,
546,11/17/23 01:00:00 午前,26.965,,,,
547,11/17/23 02:00:00 午前,26.94,,,,
