"プロット タイトル: 20054346_St56_20191209-"
"#","日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054346, SEN S/N: 20054346)","カプラー取り外し (LGR S/N: 20054346)","カプラー取り付け (LGR S/N: 20054346)","ホスト接続 (LGR S/N: 20054346)","停止済み (LGR S/N: 20054346)","ファイルの終わり (LGR S/N: 20054346)"
9637,06/27/20 05:00:00 午前,29.290,,,,,
9638,06/27/20 05:30:00 午前,29.265,,,,,
9639,06/27/20 06:00:00 午前,29.265,,,,,
9640,06/27/20 06:30:00 午前,29.315,,,,,
9641,06/27/20 07:00:00 午前,29.290,,,,,
9642,06/27/20 07:30:00 午前,29.389,,,,,
9643,06/27/20 08:00:00 午前,29.515,,,,,
9644,06/27/20 08:30:00 午前,29.540,,,,,
9645,06/27/20 09:00:00 午前,29.590,,,,,
9646,06/27/20 09:30:00 午前,29.715,,,,,
9647,06/27/20 10:00:00 午前,29.815,,,,,
9648,06/27/20 10:30:00 午前,29.916,,,,,
9649,06/27/20 11:00:00 午前,29.916,,,,,
9650,06/27/20 11:30:00 午前,30.016,,,,,
9651,06/27/20 12:00:00 午後,30.243,,,,,
9652,06/27/20 12:30:00 午後,30.369,,,,,
9653,06/27/20 01:00:00 午後,30.369,,,,,
9654,06/27/20 01:30:00 午後,30.343,,,,,
9655,06/27/20 02:00:00 午後,30.596,,,,,
9656,06/27/20 02:30:00 午後,30.444,,,,,
9657,06/27/20 03:00:00 午後,30.469,,,,,
9658,06/27/20 03:30:00 午後,30.596,,,,,
9659,06/27/20 04:00:00 午後,30.697,,,,,
9660,06/27/20 04:30:00 午後,30.874,,,,,
9661,06/27/20 05:00:00 午後,30.900,,,,,
9662,06/27/20 05:30:00 午後,30.976,,,,,
9663,06/27/20 06:00:00 午後,30.925,,,,,
9664,06/27/20 06:30:00 午後,30.874,,,,,
9665,06/27/20 07:00:00 午後,30.824,,,,,
9666,06/27/20 07:30:00 午後,30.672,,,,,
9667,06/27/20 08:00:00 午後,30.293,,,,,
9668,06/27/20 08:30:00 午後,30.066,,,,,
9669,06/27/20 09:00:00 午後,29.765,,,,,
9670,06/27/20 09:30:00 午後,29.590,,,,,
9671,06/27/20 10:00:00 午後,29.540,,,,,
9672,06/27/20 10:30:00 午後,29.540,,,,,
9673,06/27/20 11:00:00 午後,29.540,,,,,
9674,06/27/20 11:30:00 午後,29.565,,,,,
9675,06/28/20 12:00:00 午前,29.565,,,,,
9676,06/28/20 12:30:00 午前,29.540,,,,,
9677,06/28/20 01:00:00 午前,29.515,,,,,
9678,06/28/20 01:30:00 午前,29.490,,,,,
9679,06/28/20 02:00:00 午前,29.464,,,,,
9680,06/28/20 02:30:00 午前,29.439,,,,,
9681,06/28/20 03:00:00 午前,29.414,,,,,
9682,06/28/20 03:30:00 午前,29.365,,,,,
9683,06/28/20 04:00:00 午前,29.340,,,,,
9684,06/28/20 04:30:00 午前,29.315,,,,,
9685,06/28/20 05:00:00 午前,29.265,,,,,
9686,06/28/20 05:30:00 午前,29.215,,,,,
9687,06/28/20 06:00:00 午前,29.165,,,,,
9688,06/28/20 06:30:00 午前,29.140,,,,,
9689,06/28/20 07:00:00 午前,29.115,,,,,
9690,06/28/20 07:30:00 午前,29.090,,,,,
9691,06/28/20 08:00:00 午前,29.140,,,,,
9692,06/28/20 08:30:00 午前,29.365,,,,,
9693,06/28/20 09:00:00 午前,29.515,,,,,
9694,06/28/20 09:30:00 午前,29.715,,,,,
9695,06/28/20 10:00:00 午前,29.991,,,,,
9696,06/28/20 10:30:00 午前,30.142,,,,,
9697,06/28/20 11:00:00 午前,30.419,,,,,
9698,06/28/20 11:30:00 午前,30.369,,,,,
9699,06/28/20 12:00:00 午後,30.495,,,,,
9700,06/28/20 12:30:00 午後,30.495,,,,,
9701,06/28/20 01:00:00 午後,30.646,,,,,
9702,06/28/20 01:30:00 午後,30.697,,,,,
9703,06/28/20 02:00:00 午後,30.697,,,,,
9704,06/28/20 02:30:00 午後,30.646,,,,,
9705,06/28/20 03:00:00 午後,30.722,,,,,
9706,06/28/20 03:30:00 午後,30.874,,,,,
9707,06/28/20 04:00:00 午後,30.900,,,,,
9708,06/28/20 04:30:00 午後,30.976,,,,,
9709,06/28/20 05:00:00 午後,31.077,,,,,
9710,06/28/20 05:30:00 午後,31.052,,,,,
9711,06/28/20 06:00:00 午後,31.128,,,,,
9712,06/28/20 06:30:00 午後,31.255,,,,,
9713,06/28/20 07:00:00 午後,31.128,,,,,
9714,06/28/20 07:30:00 午後,30.925,,,,,
9715,06/28/20 08:00:00 午後,30.722,,,,,
9716,06/28/20 08:30:00 午後,30.571,,,,,
9717,06/28/20 09:00:00 午後,30.469,,,,,
9718,06/28/20 09:30:00 午後,30.217,,,,,
9719,06/28/20 10:00:00 午後,29.966,,,,,
9720,06/28/20 10:30:00 午後,29.740,,,,,
9721,06/28/20 11:00:00 午後,29.665,,,,,
9722,06/28/20 11:30:00 午後,29.640,,,,,
9723,06/29/20 12:00:00 午前,29.640,,,,,
9724,06/29/20 12:30:00 午前,29.640,,,,,
9725,06/29/20 01:00:00 午前,29.640,,,,,
9726,06/29/20 01:30:00 午前,29.640,,,,,
9727,06/29/20 02:00:00 午前,29.640,,,,,
9728,06/29/20 02:30:00 午前,29.615,,,,,
9729,06/29/20 03:00:00 午前,29.590,,,,,
9730,06/29/20 03:30:00 午前,29.565,,,,,
9731,06/29/20 04:00:00 午前,29.515,,,,,
9732,06/29/20 04:30:00 午前,29.490,,,,,
9733,06/29/20 05:00:00 午前,29.414,,,,,
9734,06/29/20 05:30:00 午前,29.365,,,,,
9735,06/29/20 06:00:00 午前,29.315,,,,,
9736,06/29/20 06:30:00 午前,29.240,,,,,
9737,06/29/20 07:00:00 午前,29.240,,,,,
9738,06/29/20 07:30:00 午前,29.340,,,,,
9739,06/29/20 08:00:00 午前,29.515,,,,,
9740,06/29/20 08:30:00 午前,29.715,,,,,
9741,06/29/20 09:00:00 午前,29.890,,,,,
9742,06/29/20 09:30:00 午前,30.041,,,,,
9743,06/29/20 10:00:00 午前,30.117,,,,,
9744,06/29/20 10:30:00 午前,30.192,,,,,
9745,06/29/20 11:00:00 午前,30.520,,,,,
9746,06/29/20 11:30:00 午前,30.621,,,,,
9747,06/29/20 12:00:00 午後,30.798,,,,,
9748,06/29/20 12:30:00 午後,30.849,,,,,
9749,06/29/20 01:00:00 午後,30.900,,,,,
9750,06/29/20 01:30:00 午後,30.621,,,,,
9751,06/29/20 02:00:00 午後,30.748,,,,,
9752,06/29/20 02:30:00 午後,30.596,,,,,
9753,06/29/20 03:00:00 午後,30.596,,,,,
9754,06/29/20 03:30:00 午後,30.748,,,,,
9755,06/29/20 04:00:00 午後,31.077,,,,,
9756,06/29/20 04:30:00 午後,31.001,,,,,
9757,06/29/20 05:00:00 午後,30.748,,,,,
9758,06/29/20 05:30:00 午後,30.621,,,,,
9759,06/29/20 06:00:00 午後,30.444,,,,,
9760,06/29/20 06:30:00 午後,30.419,,,,,
9761,06/29/20 07:00:00 午後,30.748,,,,,
9762,06/29/20 07:30:00 午後,30.798,,,,,
9763,06/29/20 08:00:00 午後,30.722,,,,,
9764,06/29/20 08:30:00 午後,30.596,,,,,
9765,06/29/20 09:00:00 午後,30.495,,,,,
9766,06/29/20 09:30:00 午後,30.293,,,,,
9767,06/29/20 10:00:00 午後,30.016,,,,,
9768,06/29/20 10:30:00 午後,29.815,,,,,
9769,06/29/20 11:00:00 午後,29.715,,,,,
9770,06/29/20 11:30:00 午後,29.665,,,,,
9771,06/30/20 12:00:00 午前,29.615,,,,,
9772,06/30/20 12:30:00 午前,29.590,,,,,
9773,06/30/20 01:00:00 午前,29.590,,,,,
9774,06/30/20 01:30:00 午前,29.565,,,,,
9775,06/30/20 02:00:00 午前,29.590,,,,,
9776,06/30/20 02:30:00 午前,29.565,,,,,
9777,06/30/20 03:00:00 午前,29.565,,,,,
9778,06/30/20 03:30:00 午前,29.515,,,,,
9779,06/30/20 04:00:00 午前,29.515,,,,,
9780,06/30/20 04:30:00 午前,29.439,,,,,
9781,06/30/20 05:00:00 午前,29.389,,,,,
9782,06/30/20 05:30:00 午前,29.315,,,,,
9783,06/30/20 06:00:00 午前,29.265,,,,,
9784,06/30/20 06:30:00 午前,29.165,,,,,
9785,06/30/20 07:00:00 午前,29.140,,,,,
9786,06/30/20 07:30:00 午前,29.165,,,,,
9787,06/30/20 08:00:00 午前,29.240,,,,,
9788,06/30/20 08:30:00 午前,29.515,,,,,
9789,06/30/20 09:00:00 午前,29.815,,,,,
9790,06/30/20 09:30:00 午前,29.966,,,,,
9791,06/30/20 10:00:00 午前,30.142,,,,,
9792,06/30/20 10:30:00 午前,30.268,,,,,
9793,06/30/20 11:00:00 午前,30.545,,,,,
9794,06/30/20 11:30:00 午前,30.571,,,,,
9795,06/30/20 12:00:00 午後,30.621,,,,,
9796,06/30/20 12:30:00 午後,30.495,,,,,
9797,06/30/20 01:00:00 午後,30.469,,,,,
9798,06/30/20 01:30:00 午後,30.571,,,,,
9799,06/30/20 02:00:00 午後,30.621,,,,,
9800,06/30/20 02:30:00 午後,30.672,,,,,
9801,06/30/20 03:00:00 午後,30.748,,,,,
9802,06/30/20 03:30:00 午後,30.621,,,,,
9803,06/30/20 04:00:00 午後,30.444,,,,,
9804,06/30/20 04:30:00 午後,30.394,,,,,
9805,06/30/20 05:00:00 午後,30.369,,,,,
9806,06/30/20 05:30:00 午後,30.318,,,,,
9807,06/30/20 06:00:00 午後,30.369,,,,,
9808,06/30/20 06:30:00 午後,30.318,,,,,
9809,06/30/20 07:00:00 午後,30.243,,,,,
9810,06/30/20 07:30:00 午後,30.041,,,,,
9811,06/30/20 08:00:00 午後,30.041,,,,,
9812,06/30/20 08:30:00 午後,30.268,,,,,
9813,06/30/20 09:00:00 午後,30.343,,,,,
9814,06/30/20 09:30:00 午後,30.394,,,,,
9815,06/30/20 10:00:00 午後,30.369,,,,,
9816,06/30/20 10:30:00 午後,30.343,,,,,
9817,06/30/20 11:00:00 午後,30.142,,,,,
9818,06/30/20 11:30:00 午後,29.916,,,,,
9819,07/01/20 12:00:00 午前,29.790,,,,,
9820,07/01/20 12:30:00 午前,29.715,,,,,
9821,07/01/20 01:00:00 午前,29.665,,,,,
9822,07/01/20 01:30:00 午前,29.640,,,,,
9823,07/01/20 02:00:00 午前,29.615,,,,,
9824,07/01/20 02:30:00 午前,29.615,,,,,
9825,07/01/20 03:00:00 午前,29.615,,,,,
9826,07/01/20 03:30:00 午前,29.615,,,,,
9827,07/01/20 04:00:00 午前,29.615,,,,,
9828,07/01/20 04:30:00 午前,29.640,,,,,
9829,07/01/20 05:00:00 午前,29.615,,,,,
9830,07/01/20 05:30:00 午前,29.590,,,,,
9831,07/01/20 06:00:00 午前,29.565,,,,,
9832,07/01/20 06:30:00 午前,29.515,,,,,
9833,07/01/20 07:00:00 午前,29.515,,,,,
9834,07/01/20 07:30:00 午前,29.490,,,,,
9835,07/01/20 08:00:00 午前,29.490,,,,,
9836,07/01/20 08:30:00 午前,29.515,,,,,
9837,07/01/20 09:00:00 午前,29.565,,,,,
9838,07/01/20 09:30:00 午前,29.590,,,,,
9839,07/01/20 10:00:00 午前,29.815,,,,,
9840,07/01/20 10:30:00 午前,30.117,,,,,
9841,07/01/20 11:00:00 午前,30.268,,,,,
9842,07/01/20 11:30:00 午前,30.621,,,,,
9843,07/01/20 12:00:00 午後,30.520,,,,,
9844,07/01/20 12:30:00 午後,30.369,,,,,
9845,07/01/20 01:00:00 午後,30.167,,,,,
9846,07/01/20 01:30:00 午後,30.016,,,,,
9847,07/01/20 02:00:00 午後,30.016,,,,,
9848,07/01/20 02:30:00 午後,30.066,,,,,
9849,07/01/20 03:00:00 午後,30.041,,,,,
9850,07/01/20 03:30:00 午後,30.016,,,,,
9851,07/01/20 04:00:00 午後,29.941,,,,,
9852,07/01/20 04:30:00 午後,29.916,,,,,
9853,07/01/20 05:00:00 午後,29.840,,,,,
9854,07/01/20 05:30:00 午後,29.790,,,,,
9855,07/01/20 06:00:00 午後,29.765,,,,,
9856,07/01/20 06:30:00 午後,29.715,,,,,
9857,07/01/20 07:00:00 午後,29.690,,,,,
9858,07/01/20 07:30:00 午後,29.665,,,,,
9859,07/01/20 08:00:00 午後,29.640,,,,,
9860,07/01/20 08:30:00 午後,29.615,,,,,
9861,07/01/20 09:00:00 午後,29.565,,,,,
9862,07/01/20 09:30:00 午後,29.540,,,,,
9863,07/01/20 10:00:00 午後,29.515,,,,,
9864,07/01/20 10:30:00 午後,29.515,,,,,
9865,07/01/20 11:00:00 午後,29.490,,,,,
9866,07/01/20 11:30:00 午後,29.490,,,,,
9867,07/02/20 12:00:00 午前,29.540,,,,,
9868,07/02/20 12:30:00 午前,29.439,,,,,
9869,07/02/20 01:00:00 午前,29.490,,,,,
9870,07/02/20 01:30:00 午前,29.540,,,,,
9871,07/02/20 02:00:00 午前,29.315,,,,,
9872,07/02/20 02:30:00 午前,29.140,,,,,
9873,07/02/20 03:00:00 午前,29.090,,,,,
9874,07/02/20 03:30:00 午前,29.040,,,,,
9875,07/02/20 04:00:00 午前,29.065,,,,,
9876,07/02/20 04:30:00 午前,29.290,,,,,
9877,07/02/20 05:00:00 午前,29.414,,,,,
9878,07/02/20 05:30:00 午前,29.414,,,,,
9879,07/02/20 06:00:00 午前,29.464,,,,,
9880,07/02/20 06:30:00 午前,29.464,,,,,
9881,07/02/20 07:00:00 午前,29.389,,,,,
9882,07/02/20 07:30:00 午前,29.365,,,,,
9883,07/02/20 08:00:00 午前,29.265,,,,,
9884,07/02/20 08:30:00 午前,29.240,,,,,
9885,07/02/20 09:00:00 午前,29.215,,,,,
9886,07/02/20 09:30:00 午前,29.190,,,,,
9887,07/02/20 10:00:00 午前,29.265,,,,,
9888,07/02/20 10:30:00 午前,29.414,,,,,
9889,07/02/20 11:00:00 午前,29.715,,,,,
9890,07/02/20 11:30:00 午前,29.865,,,,,
9891,07/02/20 12:00:00 午後,30.217,,,,,
9892,07/02/20 12:30:00 午後,30.268,,,,,
9893,07/02/20 01:00:00 午後,30.343,,,,,
9894,07/02/20 01:30:00 午後,30.773,,,,,
9895,07/02/20 02:00:00 午後,31.026,,,,,
9896,07/02/20 02:30:00 午後,30.722,,,,,
9897,07/02/20 03:00:00 午後,30.722,,,,,
9898,07/02/20 03:30:00 午後,30.495,,,,,
9899,07/02/20 04:00:00 午後,30.318,,,,,
9900,07/02/20 04:30:00 午後,30.117,,,,,
9901,07/02/20 05:00:00 午後,30.016,,,,,
9902,07/02/20 05:30:00 午後,29.890,,,,,
9903,07/02/20 06:00:00 午後,29.815,,,,,
9904,07/02/20 06:30:00 午後,29.765,,,,,
9905,07/02/20 07:00:00 午後,29.740,,,,,
9906,07/02/20 07:30:00 午後,29.690,,,,,
9907,07/02/20 08:00:00 午後,29.665,,,,,
9908,07/02/20 08:30:00 午後,29.890,,,,,
9909,07/02/20 09:00:00 午後,30.117,,,,,
9910,07/02/20 09:30:00 午後,30.142,,,,,
9911,07/02/20 10:00:00 午後,30.167,,,,,
9912,07/02/20 10:30:00 午後,30.167,,,,,
9913,07/02/20 11:00:00 午後,30.117,,,,,
9914,07/02/20 11:30:00 午後,30.066,,,,,
9915,07/03/20 12:00:00 午前,29.991,,,,,
9916,07/03/20 12:30:00 午前,29.890,,,,,
9917,07/03/20 01:00:00 午前,29.765,,,,,
9918,07/03/20 01:30:00 午前,29.640,,,,,
9919,07/03/20 02:00:00 午前,29.565,,,,,
9920,07/03/20 02:30:00 午前,29.565,,,,,
9921,07/03/20 03:00:00 午前,29.540,,,,,
9922,07/03/20 03:30:00 午前,29.515,,,,,
9923,07/03/20 04:00:00 午前,29.490,,,,,
9924,07/03/20 04:30:00 午前,29.515,,,,,
9925,07/03/20 05:00:00 午前,29.515,,,,,
9926,07/03/20 05:30:00 午前,29.515,,,,,
9927,07/03/20 06:00:00 午前,29.515,,,,,
9928,07/03/20 06:30:00 午前,29.515,,,,,
9929,07/03/20 07:00:00 午前,29.540,,,,,
9930,07/03/20 07:30:00 午前,29.565,,,,,
9931,07/03/20 08:00:00 午前,29.565,,,,,
9932,07/03/20 08:30:00 午前,29.565,,,,,
9933,07/03/20 09:00:00 午前,29.565,,,,,
9934,07/03/20 09:30:00 午前,29.640,,,,,
9935,07/03/20 10:00:00 午前,29.715,,,,,
9936,07/03/20 10:30:00 午前,29.815,,,,,
9937,07/03/20 11:00:00 午前,30.268,,,,,
9938,07/03/20 11:30:00 午前,30.950,,,,,
9939,07/03/20 12:00:00 午後,30.976,,,,,
9940,07/03/20 12:30:00 午後,31.689,,,,,
9941,07/03/20 01:00:00 午後,31.944,,,,,
9942,07/03/20 01:30:00 午後,32.150,,,,,
9943,07/03/20 02:00:00 午後,32.304,,,,,
9944,07/03/20 02:30:00 午後,33.183,,,,,
9945,07/03/20 03:00:00 午後,32.975,,,,,
9946,07/03/20 03:30:00 午後,32.175,,,,,
9947,07/03/20 04:00:00 午後,31.663,,,,,
9948,07/03/20 04:30:00 午後,30.976,,,,,
9949,07/03/20 05:00:00 午後,30.621,,,,,
9950,07/03/20 05:30:00 午後,30.268,,,,,
9951,07/03/20 06:00:00 午後,30.066,,,,,
9952,07/03/20 06:30:00 午後,29.890,,,,,
9953,07/03/20 07:00:00 午後,29.815,,,,,
9954,07/03/20 07:30:00 午後,29.715,,,,,
9955,07/03/20 08:00:00 午後,29.665,,,,,
9956,07/03/20 08:30:00 午後,29.615,,,,,
9957,07/03/20 09:00:00 午後,29.615,,,,,
9958,07/03/20 09:30:00 午後,29.665,,,,,
9959,07/03/20 10:00:00 午後,29.865,,,,,
9960,07/03/20 10:30:00 午後,30.091,,,,,
9961,07/03/20 11:00:00 午後,30.217,,,,,
9962,07/03/20 11:30:00 午後,30.293,,,,,
9963,07/04/20 12:00:00 午前,30.343,,,,,
9964,07/04/20 12:30:00 午前,30.369,,,,,
9965,07/04/20 01:00:00 午前,30.318,,,,,
9966,07/04/20 01:30:00 午前,30.268,,,,,
9967,07/04/20 02:00:00 午前,30.217,,,,,
9968,07/04/20 02:30:00 午前,30.167,,,,,
9969,07/04/20 03:00:00 午前,30.117,,,,,
9970,07/04/20 03:30:00 午前,29.916,,,,,
9971,07/04/20 04:00:00 午前,29.540,,,,,
9972,07/04/20 04:30:00 午前,29.540,,,,,
9973,07/04/20 05:00:00 午前,29.540,,,,,
9974,07/04/20 05:30:00 午前,29.540,,,,,
9975,07/04/20 06:00:00 午前,29.540,,,,,
9976,07/04/20 06:30:00 午前,29.540,,,,,
9977,07/04/20 07:00:00 午前,29.540,,,,,
9978,07/04/20 07:30:00 午前,29.565,,,,,
9979,07/04/20 08:00:00 午前,29.590,,,,,
9980,07/04/20 08:30:00 午前,29.665,,,,,
9981,07/04/20 09:00:00 午前,29.715,,,,,
9982,07/04/20 09:30:00 午前,29.840,,,,,
9983,07/04/20 10:00:00 午前,30.016,,,,,
9984,07/04/20 10:30:00 午前,30.217,,,,,
9985,07/04/20 11:00:00 午前,30.798,,,,,
9986,07/04/20 11:30:00 午前,31.255,,,,,
9987,07/04/20 12:00:00 午後,31.816,,,,,
9988,07/04/20 12:30:00 午後,31.996,,,,,
9989,07/04/20 01:00:00 午後,32.665,,,,,
9990,07/04/20 01:30:00 午後,32.949,,,,,
9991,07/04/20 02:00:00 午後,33.548,,,,,
9992,07/04/20 02:30:00 午後,33.469,,,,,
9993,07/04/20 03:00:00 午後,33.469,,,,,
9994,07/04/20 03:30:00 午後,34.071,,,,,
9995,07/04/20 04:00:00 午後,34.124,,,,,
9996,07/04/20 04:30:00 午後,32.562,,,,,
9997,07/04/20 05:00:00 午後,31.433,,,,,
9998,07/04/20 05:30:00 午後,30.874,,,,,
9999,07/04/20 06:00:00 午後,30.369,,,,,
10000,07/04/20 06:30:00 午後,30.117,,,,,
10001,07/04/20 07:00:00 午後,29.966,,,,,
10002,07/04/20 07:30:00 午後,29.890,,,,,
10003,07/04/20 08:00:00 午後,29.840,,,,,
10004,07/04/20 08:30:00 午後,29.790,,,,,
10005,07/04/20 09:00:00 午後,29.765,,,,,
10006,07/04/20 09:30:00 午後,29.715,,,,,
10007,07/04/20 10:00:00 午後,29.715,,,,,
10008,07/04/20 10:30:00 午後,29.665,,,,,
10009,07/04/20 11:00:00 午後,29.665,,,,,
10010,07/04/20 11:30:00 午後,29.615,,,,,
10011,07/05/20 12:00:00 午前,29.590,,,,,
10012,07/05/20 12:30:00 午前,29.565,,,,,
10013,07/05/20 01:00:00 午前,29.540,,,,,
10014,07/05/20 01:30:00 午前,29.640,,,,,
10015,07/05/20 02:00:00 午前,29.740,,,,,
10016,07/05/20 02:30:00 午前,29.765,,,,,
10017,07/05/20 03:00:00 午前,29.916,,,,,
10018,07/05/20 03:30:00 午前,29.890,,,,,
10019,07/05/20 04:00:00 午前,29.765,,,,,
10020,07/05/20 04:30:00 午前,29.715,,,,,
10021,07/05/20 05:00:00 午前,29.715,,,,,
10022,07/05/20 05:30:00 午前,29.715,,,,,
10023,07/05/20 06:00:00 午前,29.715,,,,,
10024,07/05/20 06:30:00 午前,29.740,,,,,
10025,07/05/20 07:00:00 午前,29.765,,,,,
10026,07/05/20 07:30:00 午前,29.790,,,,,
10027,07/05/20 08:00:00 午前,29.840,,,,,
10028,07/05/20 08:30:00 午前,29.890,,,,,
10029,07/05/20 09:00:00 午前,29.941,,,,,
10030,07/05/20 09:30:00 午前,29.991,,,,,
10031,07/05/20 10:00:00 午前,30.091,,,,,
10032,07/05/20 10:30:00 午前,30.318,,,,,
10033,07/05/20 11:00:00 午前,30.596,,,,,
10034,07/05/20 11:30:00 午前,30.950,,,,,
10035,07/05/20 12:00:00 午後,31.433,,,,,
10036,07/05/20 12:30:00 午後,31.919,,,,,
10037,07/05/20 01:00:00 午後,32.458,,,,,
10038,07/05/20 01:30:00 午後,32.768,,,,,
10039,07/05/20 02:00:00 午後,32.639,,,,,
10040,07/05/20 02:30:00 午後,33.157,,,,,
10041,07/05/20 03:00:00 午後,32.975,,,,,
10042,07/05/20 03:30:00 午後,33.105,,,,,
10043,07/05/20 04:00:00 午後,33.391,,,,,
10044,07/05/20 04:30:00 午後,33.600,,,,,
10045,07/05/20 05:00:00 午後,32.047,,,,,
10046,07/05/20 05:30:00 午後,31.281,,,,,
10047,07/05/20 06:00:00 午後,30.596,,,,,
10048,07/05/20 06:30:00 午後,30.243,,,,,
10049,07/05/20 07:00:00 午後,30.066,,,,,
10050,07/05/20 07:30:00 午後,29.916,,,,,
10051,07/05/20 08:00:00 午後,29.815,,,,,
10052,07/05/20 08:30:00 午後,29.765,,,,,
10053,07/05/20 09:00:00 午後,29.740,,,,,
10054,07/05/20 09:30:00 午後,29.715,,,,,
10055,07/05/20 10:00:00 午後,29.690,,,,,
10056,07/05/20 10:30:00 午後,29.665,,,,,
10057,07/05/20 11:00:00 午後,29.640,,,,,
10058,07/05/20 11:30:00 午後,29.590,,,,,
10059,07/06/20 12:00:00 午前,29.565,,,,,
10060,07/06/20 12:30:00 午前,29.540,,,,,
10061,07/06/20 01:00:00 午前,29.540,,,,,
10062,07/06/20 01:30:00 午前,29.740,,,,,
10063,07/06/20 02:00:00 午前,30.091,,,,,
10064,07/06/20 02:30:00 午前,30.192,,,,,
10065,07/06/20 03:00:00 午前,30.066,,,,,
10066,07/06/20 03:30:00 午前,29.865,,,,,
10067,07/06/20 04:00:00 午前,29.765,,,,,
10068,07/06/20 04:30:00 午前,29.740,,,,,
10069,07/06/20 05:00:00 午前,29.765,,,,,
10070,07/06/20 05:30:00 午前,29.765,,,,,
10071,07/06/20 06:00:00 午前,29.765,,,,,
10072,07/06/20 06:30:00 午前,29.790,,,,,
10073,07/06/20 07:00:00 午前,29.790,,,,,
10074,07/06/20 07:30:00 午前,29.815,,,,,
10075,07/06/20 08:00:00 午前,29.840,,,,,
10076,07/06/20 08:30:00 午前,29.890,,,,,
10077,07/06/20 09:00:00 午前,29.941,,,,,
10078,07/06/20 09:30:00 午前,29.941,,,,,
10079,07/06/20 10:00:00 午前,30.016,,,,,
10080,07/06/20 10:30:00 午前,30.217,,,,,
10081,07/06/20 11:00:00 午前,30.495,,,,,
10082,07/06/20 11:30:00 午前,30.672,,,,,
10083,07/06/20 12:00:00 午後,30.950,,,,,
10084,07/06/20 12:30:00 午後,31.306,,,,,
10085,07/06/20 01:00:00 午後,31.561,,,,,
10086,07/06/20 01:30:00 午後,32.073,,,,,
10087,07/06/20 02:00:00 午後,32.484,,,,,
10088,07/06/20 02:30:00 午後,32.768,,,,,
10089,07/06/20 03:00:00 午後,33.027,,,,,
10090,07/06/20 03:30:00 午後,32.613,,,,,
10091,07/06/20 04:00:00 午後,32.562,,,,,
10092,07/06/20 04:30:00 午後,32.665,,,,,
10093,07/06/20 05:00:00 午後,32.665,,,,,
10094,07/06/20 05:30:00 午後,31.001,,,,,
10095,07/06/20 06:00:00 午後,30.621,,,,,
10096,07/06/20 06:30:00 午後,30.268,,,,,
10097,07/06/20 07:00:00 午後,30.041,,,,,
10098,07/06/20 07:30:00 午後,29.991,,,,,
10099,07/06/20 08:00:00 午後,29.916,,,,,
10100,07/06/20 08:30:00 午後,29.865,,,,,
10101,07/06/20 09:00:00 午後,29.815,,,,,
10102,07/06/20 09:30:00 午後,29.790,,,,,
10103,07/06/20 10:00:00 午後,29.790,,,,,
10104,07/06/20 10:30:00 午後,29.765,,,,,
10105,07/06/20 11:00:00 午後,29.740,,,,,
10106,07/06/20 11:30:00 午後,29.715,,,,,
10107,07/07/20 12:00:00 午前,29.665,,,,,
10108,07/07/20 12:30:00 午前,29.640,,,,,
10109,07/07/20 01:00:00 午前,29.615,,,,,
10110,07/07/20 01:30:00 午前,29.740,,,,,
10111,07/07/20 02:00:00 午前,29.865,,,,,
10112,07/07/20 02:30:00 午前,30.016,,,,,
10113,07/07/20 03:00:00 午前,30.016,,,,,
10114,07/07/20 03:30:00 午前,29.916,,,,,
10115,07/07/20 04:00:00 午前,29.790,,,,,
10116,07/07/20 04:30:00 午前,29.640,,,,,
10117,07/07/20 05:00:00 午前,29.615,,,,,
10118,07/07/20 05:30:00 午前,29.665,,,,,
10119,07/07/20 06:00:00 午前,29.715,,,,,
10120,07/07/20 06:30:00 午前,29.740,,,,,
10121,07/07/20 07:00:00 午前,29.765,,,,,
10122,07/07/20 07:30:00 午前,29.765,,,,,
10123,07/07/20 08:00:00 午前,29.815,,,,,
10124,07/07/20 08:30:00 午前,29.840,,,,,
10125,07/07/20 09:00:00 午前,29.890,,,,,
10126,07/07/20 09:30:00 午前,29.941,,,,,
10127,07/07/20 10:00:00 午前,29.991,,,,,
10128,07/07/20 10:30:00 午前,30.167,,,,,
10129,07/07/20 11:00:00 午前,30.343,,,,,
10130,07/07/20 11:30:00 午前,30.394,,,,,
10131,07/07/20 12:00:00 午後,30.697,,,,,
10132,07/07/20 12:30:00 午後,30.950,,,,,
10133,07/07/20 01:00:00 午後,31.306,,,,,
10134,07/07/20 01:30:00 午後,31.689,,,,,
10135,07/07/20 02:00:00 午後,31.970,,,,,
10136,07/07/20 02:30:00 午後,32.073,,,,,
10137,07/07/20 03:00:00 午後,32.150,,,,,
10138,07/07/20 03:30:00 午後,32.562,,,,,
10139,07/07/20 04:00:00 午後,32.330,,,,,
10140,07/07/20 04:30:00 午後,32.304,,,,,
10141,07/07/20 05:00:00 午後,32.278,,,,,
10142,07/07/20 05:30:00 午後,32.047,,,,,
10143,07/07/20 06:00:00 午後,30.874,,,,,
10144,07/07/20 06:30:00 午後,30.217,,,,,
10145,07/07/20 07:00:00 午後,30.041,,,,,
10146,07/07/20 07:30:00 午後,29.941,,,,,
10147,07/07/20 08:00:00 午後,29.890,,,,,
